Date,Monthly Nominal GDP Index,Monthly Real GDP Index
2006 - Oct,13963.998,15391.294
2006 - Nov,14057.827,15500.02
2006 - Dec,14089.859,15480.017
2007 - Jan,14129.855,15460.679
2007 - Feb,14283.126,15564.472
2007 - Mar,14212.726,15455.299
2007 - Apr,14346.747,15582.936
2007 - May,14382.354,15575.688
2007 - Jun,14417.988,15587.918
2007 - Jul,14393.91,15531.431
2007 - Aug,14574.746,15720.291
2007 - Sep,14636.353,15748.714
2007 - Oct,14635.07,15731.593
2007 - Nov,14684.885,15758.277
2007 - Dec,14724.548,15796.244
2008 - Jan,14753.596,15820.593
2008 - Feb,14573.577,15591.661
2008 - Mar,14625.944,15602.193
2008 - Apr,14700.496,15657.659
2008 - May,14742.585,15693.826
2008 - Jun,14973.752,15905.129
2008 - Jul,14908.116,15773.402
2008 - Aug,14852.031,15699.396
2008 - Sep,14745.415,15528.349
2008 - Oct,14639.676,15404.593
2008 - Nov,14655.354,15427.971
2008 - Dec,14383.599,15151.522
2009 - Jan,14437.965,15195.534
2009 - Feb,14407.812,15149.779
2009 - Mar,14337.864,15122.85
2009 - Apr,14332.949,15122.684
2009 - May,14350.728,15139.079
2009 - Jun,14374.874,15140.848
2009 - Jul,14347.682,15125.07
2009 - Aug,14453.974,15220.59
2009 - Sep,14459.28,15222.351
2009 - Oct,14671.274,15429.275
2009 - Nov,14643.664,15364.174
2009 - Dec,14569.125,15275.046
2010 - Jan,14670.128,15363.588
2010 - Feb,14691.394,15394.097
2010 - Mar,14802.528,15487.85
2010 - Apr,14899.666,15553.909
2010 - May,14899.435,15521.929
2010 - Jun,14979.193,15596.367
2010 - Jul,15049.228,15665.696
2010 - Aug,15049.664,15639.075
2010 - Sep,15140.859,15711.437
2010 - Oct,15216.508,15748.157
2010 - Nov,15196.294,15703.92
2010 - Dec,15309.727,15800.1
2011 - Jan,15185.434,15650.937
2011 - Feb,15219.839,15638.256
2011 - Mar,15452.211,15849.201
2011 - Apr,15523.359,15890.078
2011 - May,15505.1,15818.135
2011 - Jun,15460.107,15767.346
2011 - Jul,15554.894,15809.625
2011 - Aug,15660.612,15886.01
2011 - Sep,15560.044,15766.752
2011 - Oct,15810.84,16035.913
2011 - Nov,15792.346,15989.942
2011 - Dec,15786.195,15986.748
2012 - Jan,15890.863,16034.838
2012 - Feb,16167.726,16269.705
2012 - Mar,16000.685,16083.604
2012 - Apr,16130.619,16183.035
2012 - May,16168.787,16222.002
2012 - Jun,16157.365,16191.344
2012 - Jul,16263.749,16268.175
2012 - Aug,16203.966,16168.572
2012 - Sep,16303.738,16225.261
2012 - Oct,16272.734,16157.582
2012 - Nov,16343.249,16232.187
2012 - Dec,16460.606,16327.778
2013 - Jan,16613.227,16453.941
2013 - Feb,16518.49,16314.998
2013 - Mar,16577.057,16380.283
2013 - Apr,16583.705,16384.664
2013 - May,16593.34,16362.468
2013 - Jun,16736.732,16462.709
2013 - Jul,16785.372,16490.487
2013 - Aug,16872.695,16556.229
2013 - Sep,16888.177,16548.667
2013 - Oct,16997.391,16625.099
2013 - Nov,17119.657,16700.281
2013 - Dec,17132.362,16665.911
2014 - Jan,17036.834,16571.202
2014 - Feb,17126.539,16645.435
2014 - Mar,17150.292,16633.347
2014 - Apr,17322.479,16774.07
2014 - May,17445.891,16838.277
2014 - Jun,17530.356,16912.454
2014 - Jul,17667.854,17004.975
2014 - Aug,17777.474,17100.909
2014 - Sep,17719.643,17035.813
2014 - Oct,17837.227,17138.35
2014 - Nov,17868.264,17154.422
2014 - Dec,17844.245,17136.715
2015 - Jan,17937.428,17297.015
2015 - Feb,18071.548,17379.938
2015 - Mar,18001.221,17240.437
2015 - Apr,18186.272,17439.56
2015 - May,18206.648,17389.686
2015 - Jun,18277.811,17439.481
2015 - Jul,18315.306,17454.541
2015 - Aug,18329.599,17461.622
2015 - Sep,18397.371,17542.226
2015 - Oct,18401.645,17541.05
2015 - Nov,18344.562,17477.118
2015 - Dec,18390.202,17524.358
2016 - Jan,18413.836,17571.424
2016 - Feb,18394.384,17552.356
2016 - Mar,18602.247,17716.375
2016 - Apr,18643.602,17696.884
2016 - May,18615.355,17616.662
2016 - Jun,18709.664,17691.229
2016 - Jul,18693.02,17648.496
2016 - Aug,18827.024,17774.274
2016 - Sep,18944.034,17870.482
2016 - Oct,18912.099,17792.097
2016 - Nov,19066.169,17916.153
2016 - Dec,19119.472,17920.449
2017 - Jan,19155.483,17910.602
2017 - Feb,19211.551,17947.586
2017 - Mar,19345.271,18073.981
2017 - Apr,19247.468,17943.131
2017 - May,19394.41,18069.366
2017 - Jun,19495.818,18150.049
2017 - Jul,19501.502,18124.706
2017 - Aug,19597.123,18175.575
2017 - Sep,19753.238,18256.987
2017 - Oct,19789.023,18257.157
2017 - Nov,19990.927,18408.805
2017 - Dec,20033.939,18412.691
2018 - Jan,20154.975,18490.329
2018 - Feb,20271.323,18558.459
2018 - Mar,20300.347,18543.036
2018 - Apr ,20438.675,18606.976
2018 - May,20602.172,18690.797
2018 - Jun,20617.112,18665.812
2018 - Jul,20681.043,18703.267
2018 - Aug,20762.149,18782.584
2018 - Sep,20784.978,18771.691
2018 - Oct,20916.505,18831.414
2018 - Nov,20877.613,18777.502
2018 - Dec,20935.441,18833.342
2019 - Jan,21115.269,18982.144
2019 - Feb,21099.048,18937.944
2019 - Mar,21131.61,18931.403
2019 - Apr,21251.909,18970.916
2019 - May,21335.034,19026.866
2019 - Jun,21402.688,19064.456
2019 - Jul,21520.632,19133.35
2019 - Aug,21506.526,19107.853
2019 - Sep,21593.817,19184.453
2019 - Oct,21704.822,19244.074
2019 - Nov,21723.211,19235.286
2019 - Dec,21814.15,19282.919
2020 - Jan,21848.148,19266.223
2020 - Feb,22007.662,19405.396
2020 - Mar,20827.608,18361.934
2020 - Apr,18578.779,16514.07
2020 - May,19416.934,17237.09
2020 - Jun,20564.629,18159.156
2020 - Jul,20903.853,18387.327
2020 - Aug,21136.052,18572.839
2020 - Sep,21470.851,18833.535
2020 - Oct,21636.504,18946.111
2020 - Nov,21381.004,18711.035
2020 - Dec,21451.855,18702.817
2021 - Jan,21837.42,18959.676
